2020:108:05:46:01  rack_temp  313.96 Kelvin, ambient_temp  315.56 Kelvin, ambient_hum   10.35 percent, frontend  300.00 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:51:01  rack_temp  314.16 Kelvin, ambient_temp  313.41 Kelvin, ambient_hum   10.58 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:05:56:01  rack_temp  314.16 Kelvin, ambient_temp  314.03 Kelvin, ambient_hum   10.74 percent, frontend  300.03 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:01:01  rack_temp  314.36 Kelvin, ambient_temp  313.94 Kelvin, ambient_hum   11.83 percent, frontend  300.09 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:06:01  rack_temp  314.36 Kelvin, ambient_temp  313.41 Kelvin, ambient_hum   12.02 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:11:01  rack_temp  314.57 Kelvin, ambient_temp  313.76 Kelvin, ambient_hum   11.35 percent, frontend  300.09 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:16:01  rack_temp  314.16 Kelvin, ambient_temp  313.46 Kelvin, ambient_hum   11.61 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:21:01  rack_temp  314.36 Kelvin, ambient_temp  318.04 Kelvin, ambient_hum    8.30 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:26:01  rack_temp  314.57 Kelvin, ambient_temp  316.85 Kelvin, ambient_hum   10.32 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:31:01  rack_temp  314.36 Kelvin, ambient_temp  314.27 Kelvin, ambient_hum    9.79 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:36:01  rack_temp  314.36 Kelvin, ambient_temp  315.72 Kelvin, ambient_hum   12.39 percent, frontend  300.00 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:41:01  rack_temp  314.57 Kelvin, ambient_temp  316.79 Kelvin, ambient_hum    8.75 percent, frontend  300.02 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:46:01  rack_temp  314.36 Kelvin, ambient_temp  313.06 Kelvin, ambient_hum   11.47 percent, frontend  300.03 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:51:01  rack_temp  314.77 Kelvin, ambient_temp  313.61 Kelvin, ambient_hum    9.79 percent, frontend  300.03 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:06:56:01  rack_temp  314.77 Kelvin, ambient_temp  316.33 Kelvin, ambient_hum    9.71 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
2020:108:07:01:01  rack_temp  314.77 Kelvin, ambient_temp  312.66 Kelvin, ambient_hum   11.89 percent, frontend  300.05 Kelvin, rcv3_lna  273.20 Kelvin
